,name,zip,address,Phone,type,type2,latitude,longitude,Label,url_status,Website
68,Huckleberry Trail Farm,27344,143 Pleasant Hill Church Rd Siler City NC 27344,(919) 432-4825,farm,Pumpkin patch,35.73358966,-79.33989732,"<B>Huckleberry Trail Farm</B><br><B>Address: </B>143 Pleasant Hill Church Rd Siler City NC 27344<br><B>Type: </B>farm<br><B>Details: </B>Pumpkin patch<br><a href=""www.huckleberrytrailfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://huckleberrytrailfarm.com
70,Raynay Alpaca Farm,27326,1897 Ashland Rd Ruffin NC 27326,(336) 939-9400,farm,Petting farm,36.36229482,-79.50413486,"<B>Raynay Alpaca Farm</B><br><B>Address: </B>1897 Ashland Rd Ruffin NC 27326<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.raynayalpacas.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.raynayalpacas.com
71,Robinson Produce Farms,28472,607 N Jk Powell Blvd Whiteville NC 28472,(910) 640-1288,farm,Pumpkin patch,34.33714051,-78.70842988,"<B>Robinson Produce Farms</B><br><B>Address: </B>607 N Jk Powell Blvd Whiteville NC 28472<br><B>Type: </B>farm<br><B>Details: </B>Pumpkin patch<br><a href=""www.robinsonproducefarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.robinsonproducefarms.com
72,Spring Meadow Farm,27577,2080 Wilsons Mills Rd Smithfield NC 27577,(919) 989-8878,farm,Petting farm,35.54783863,-78.34445007,"<B>Spring Meadow Farm</B><br><B>Address: </B>2080 Wilsons Mills Rd Smithfield NC 27577<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.springmeadowfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://springmeadowfarms.com
73,Sweet Valley Ranch,28312,2990 Sunnyside School Rd Fayetteville NC 28312,(910) 797-2032,farm,Petting farm,35.02476392,-78.81831163,"<B>Sweet Valley Ranch</B><br><B>Address: </B>2990 Sunnyside School Rd Fayetteville NC 28312<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.sweetvalleyranchnc.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.sweetvalleyranchnc.com
74,Winterpast Farm,27587,12936 Ghoston Rd Wake Forest NC 27587,(919) 000-1111,farm,Petting farm,35.99630326,-78.6704421,"<B>Winterpast Farm</B><br><B>Address: </B>12936 Ghoston Rd Wake Forest NC 27587<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""www.winterpast.org"" target=""_blank"">Website</a><br>",Not Accessible,https://winterpastflowers.com
76,Buckwheat Farm,27502,2700 Holland Rd Apex NC 27502,(919) 303-0339,farm,You pick your own,35.71279503,-78.89635537,"<B>Buckwheat Farm</B><br><B>Address: </B>2700 Holland Rd Apex NC 27502<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.buckwheatfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.buckwheatfarm.com
77,Carter Blueberry Farm,28312,4140 Clinton Rd Fayetteville NC 28312,(910) 483-1670,farm,You pick your own,35.03605813,-78.78097551,"<B>Carter Blueberry Farm</B><br><B>Address: </B>4140 Clinton Rd Fayetteville NC 28312<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.carterblueberries.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.carterblueberries.com
78,Cody Farm,28137,41025 Pauls Crossing Rd Richfield NC 28137,(704) 463-5106,farm,You pick your own,35.43988659,-80.3034022,"<B>Cody Farm</B><br><B>Address: </B>41025 Pauls Crossing Rd Richfield NC 28137<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.codystrawberryfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.codystrawberryfarm.com
79,Eno River Farm,27278,2127 St Marys Rd Hillsborough NC 27278,(910) 622-3226,farm,You pick your own,36.12302551,-78.946364,"<B>Eno River Farm</B><br><B>Address: </B>2127 St Marys Rd Hillsborough NC 27278<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.enoriverfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://enoriverfarms.com
80,J W Mitchell Farms,28734,395 Bradley Creek Rd Franklin NC 28734,(828) 349-2725,farm,You pick your own,35.27926138,-83.4368143,"<B>J W Mitchell Farms</B><br><B>Address: </B>395 Bradley Creek Rd Franklin NC 28734<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.jwmitchellfarms.com"" target=""_blank"">Website</a><br>",Not Accessible,http://jwmitchellfarms.com
81,Jeter Mountain Farm,28739,1126 Jeter Mountain Rd Hendersonville NC 28739,(828) 513-0404,farm,You pick your own,35.25285567,-82.55628454,"<B>Jeter Mountain Farm</B><br><B>Address: </B>1126 Jeter Mountain Rd Hendersonville NC 28739<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.jetermountainfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.jetermountainfarm.com
82,Jubilee Family Farm,27712,2135 Winkler Rd Durham NC 27712,(919) 382-2920,farm,You pick your own,36.09550453,-78.94972423,"<B>Jubilee Family Farm</B><br><B>Address: </B>2135 Winkler Rd Durham NC 27712<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.jubileefamilyfarmdurham.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.jubileefamilyfarmdurham.com
83,Mabe's Berry Farm,27052,1695 Greenfield Rd Walnut Cove NC 27052,(336) 591-4785,farm,You pick your own,36.2998036,-80.2051782,"<B>Mabe's Berry Farm</B><br><B>Address: </B>1695 Greenfield Rd Walnut Cove NC 27052<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.mabesberryfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://mabesberryfarm.com
85,Page Farms,27617,6100 Mount Herman Rd Raleigh NC 27617,(918) 451-5534,farm,You pick your own,35.9089171,-78.7693584,"<B>Page Farms</B><br><B>Address: </B>6100 Mount Herman Rd Raleigh NC 27617<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.pagefarmsraleigh.com"" target=""_blank"">Website</a><br>",Not Accessible,https://pagefarmsraleigh.com
86,Patterson Farm,28125,10390 Caldwell Rd Mt Ulla NC 28125,(704) 857-5242,farm,You pick your own,35.631129,-80.67042136,"<B>Patterson Farm</B><br><B>Address: </B>10390 Caldwell Rd Mt Ulla NC 28125<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.visitpattersonfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.visitpattersonfarm.com
87,Porter Farms,28504,2325 Hwy 258 N Kinston NC 28504,(252) 522-3276,farm,You pick your own,35.29852298,-77.64632266,"<B>Porter Farms</B><br><B>Address: </B>2325 Hwy 258 N Kinston NC 28504<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.porterfarmskinston.com"" target=""_blank"">Website</a><br>",Not Accessible,http://porterfarmskinston.com/produce.html
88,Porter Farms & Nursery,27592,3525 Nc 42 Hwy Willow Spring NC 27592,(919) 567-0504,farm,You pick your own,35.58391548,-78.67077924,"<B>Porter Farms & Nursery</B><br><B>Address: </B>3525 Nc 42 Hwy Willow Spring NC 27592<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.porterfarmsandnursery.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.porterfarmsandnursery.com
89,Sandycreek Farm,27295,3160 S Nc Highway 150 Lexington NC 27295,(336) 853-8834,farm,You pick your own,35.81896647,-80.35901097,"<B>Sandycreek Farm</B><br><B>Address: </B>3160 S Nc Highway 150 Lexington NC 27295<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.sandycreekfarm150.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.sandycreekfarm150.com
90,Southside Strawberry Farm,27817,320 Harding Ln Chocowinity NC 27817,(252) 946-2487,farm,You pick your own,35.46218941,-77.10123917,"<B>Southside Strawberry Farm</B><br><B>Address: </B>320 Harding Ln Chocowinity NC 27817<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.southsidefarms.com"" target=""_blank"">Website</a><br>",Not Accessible,https://www.southsidefarms.com
92,Vollmer Farm,27508,677 Nc 98 Hwy E Bunn NC 27508,(919) 496-3076,farm,You pick your own,35.944379,-78.223313,"<B>Vollmer Farm</B><br><B>Address: </B>677 Nc 98 Hwy E Bunn NC 27508<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.vollmerfarm.com"" target=""_blank"">Website</a><br>",Not Accessible,http://www.vollmerfarm.com
93,White's Farm,28586,5200 US Highway 17 N Vanceboro NC 28586,(252) 244-2106,farm,You pick your own,35.24182396,-77.0801522,"<B>White's Farm</B><br><B>Address: </B>5200 US Highway 17 N Vanceboro NC 28586<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""www.whitesfarmvanceboro.com"" target=""_blank"">Website</a><br>",Not Accessible,https://whitesfarmvanceboro.com
6,Abernathy Farm,28056,1000 Harper Rd Gastonia NC 28056,(704) 718-6165,farm,Other,35.18808112,-81.14488412,"<B>Abernathy Farm</B><br><B>Address: </B>1000 Harper Rd Gastonia NC 28056<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.facebook.com/profile.php?id=61558984293619&mibextid=LQQJ4d"" target=""_blank"">Website</a><br>",Accessible,https://www.facebook.com/profile.php?id=61558984293619&mibextid=LQQJ4d
8,Apple Hill Farm,27265,"400 Apple Hill Road Banner Elk, NC 28604",(828) 963-1662,farm,Other,36.195398,-81.820088,"<B>Apple Hill Farm</B><br><B>Address: </B>400 Apple Hill Road Banner Elk, NC 28604<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://applehillfarmnc.com"" target=""_blank"">Website</a><br>",Accessible,https://applehillfarmnc.com
12,Biltmore Farmyard,28604,"1 Lodge St Asheville, NC 28803",800.411.3812,farm,Other,35.5694466,-82.5386095,"<B>Biltmore Farmyard</B><br><B>Address: </B>1 Lodge St Asheville, NC 28803<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.biltmore.com/visit/biltmore-estate/antler-hill-village/farmyard/"" target=""_blank"">Website</a><br>",Accessible,https://www.biltmore.com/visit/biltmore-estate/antler-hill-village/farmyard/
14,Blue Sky Farms NC,27591,249 Mudham Rd Wendell NC 27591,(919) 365-4355,farm,Other,35.75917639,-78.33018049,"<B>Blue Sky Farms NC</B><br><B>Address: </B>249 Mudham Rd Wendell NC 27591<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://blueskyfarmsnc.com"" target=""_blank"">Website</a><br>",Accessible,https://blueskyfarmsnc.com
18,CAMACHOS MINI FARM ACRES,28090,"5103 Fallston Road Lawndale, NC 28090",704-297-8098,farm,Other,35.4361884,-81.5024596,"<B>CAMACHOS MINI FARM ACRES</B><br><B>Address: </B>5103 Fallston Road Lawndale, NC 28090<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.camachominifarmacres.com/?"" target=""_blank"">Website</a><br>",Accessible,https://www.camachominifarmacres.com/?
20,Darby Acres Farm,28216,"Hutchinson Ln, Charlotte, NC, 28216 (check website)",704-738-4444,farm,Other,35.316733,-80.926593,"<B>Darby Acres Farm</B><br><B>Address: </B>Hutchinson Ln, Charlotte, NC, 28216 (check website)<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.darbyacresfarm.com"" target=""_blank"">Website</a><br>",Accessible,https://www.darbyacresfarm.com
23,Freedom Hill Farm,28722,"311 Mize Nursery Ln , Columbus, NC 28722",(203) 321-6178,farm,Other,35.2686842,-82.1713632,"<B>Freedom Hill Farm</B><br><B>Address: </B>311 Mize Nursery Ln , Columbus, NC 28722<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.facebook.com/freedomhillfarmny/?_rdr"" target=""_blank"">Website</a><br>",Accessible,https://www.facebook.com/freedomhillfarmny/?_rdr
24,Full Spectrum Farms,28723,1185 Wayehutta Rd Cullowhee NC 28723,(828) 293-2521,farm,Other,35.32364822,-83.15567925,"<B>Full Spectrum Farms</B><br><B>Address: </B>1185 Wayehutta Rd Cullowhee NC 28723<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.fullspectrumfarms.org"" target=""_blank"">Website</a><br>",Accessible,https://www.fullspectrumfarms.org
27,Hill Ridge Farms,27596,703 Tarboro Rd Youngsville NC 27596,(919) 556-1771,farm,Other,36.01633113,-78.44282005,"<B>Hill Ridge Farms</B><br><B>Address: </B>703 Tarboro Rd Youngsville NC 27596<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.hillridgefarms.com"" target=""_blank"">Website</a><br>",Accessible,https://www.hillridgefarms.com
29,Horne Creek Farm,27043,308 Horne Creek Farm Rd Pinnacle NC 27043,(336) 325-2298,farm,Other,36.26929109,-80.48440898,"<B>Horne Creek Farm</B><br><B>Address: </B>308 Horne Creek Farm Rd Pinnacle NC 27043<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://historicsites.nc.gov/all-sites/horne-creek-farm"" target=""_blank"">Website</a><br>",Accessible,https://historicsites.nc.gov/all-sites/horne-creek-farm
33,J Razz & Tazz Farm,27249,466 Peeden Dr Gibsonville NC 27249,(336) 697-2473,farm,Other,36.10021226,-79.61319522,"<B>J Razz & Tazz Farm</B><br><B>Address: </B>466 Peeden Dr Gibsonville NC 27249<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.jrazz.com"" target=""_blank"">Website</a><br>",Accessible,https://www.jrazz.com
38,Planet Peace Farm,27604,"6121 Forestville Road Raleigh, NC 27604",(919) 995-1743,farm,Other,35.8225552,-78.5017071,"<B>Planet Peace Farm</B><br><B>Address: </B>6121 Forestville Road Raleigh, NC 27604<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.planetpeaceful.org"" target=""_blank"">Website</a><br>",Accessible,https://www.planetpeaceful.org
43,SonRidge Farm,28086,"246 Wright Rd, Kings Mountain, NC 28086",704-734-0809,farm,Other,35.267241,-81.403836,"<B>SonRidge Farm</B><br><B>Address: </B>246 Wright Rd, Kings Mountain, NC 28086<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.sonridgefarm.com"" target=""_blank"">Website</a><br>",Accessible,https://www.sonridgefarm.com
49,Sweet Valley Ranch,28312,"2990 Sunnyside School Road Fayetteville, NC 28312",(844) 622-3276,farm,Other,35.024683,-78.8137405,"<B>Sweet Valley Ranch</B><br><B>Address: </B>2990 Sunnyside School Road Fayetteville, NC 28312<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.sweetvalleyranchnc.com/contact-us"" target=""_blank"">Website</a><br>",Accessible,https://www.sweetvalleyranchnc.com/contact-us
50,The Pint Sized Pasture,27330,"1525 Fire Tower Rd, Sanford, NC 27330",(919) 498-4466,farm,Other,35.4464832,-79.1878277,"<B>The Pint Sized Pasture</B><br><B>Address: </B>1525 Fire Tower Rd, Sanford, NC 27330<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://www.thepintsizedpasture.com"" target=""_blank"">Website</a><br>",Accessible,https://www.thepintsizedpasture.com
53,Upton Family Farm,28168,"8216 S Hebron Church Rd, Vale, NC 28168",(704) 600-5023,farm,Other,35.525777,-81.498933,"<B>Upton Family Farm</B><br><B>Address: </B>8216 S Hebron Church Rd, Vale, NC 28168<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""https://uptonfamilyfarm.com"" target=""_blank"">Website</a><br>",Accessible,https://uptonfamilyfarm.com
55,Winterpast Farm,27587,"12936 Ghoston Rd, Wake Forest, NC 27587",(919) 244-1800,farm,Other,35.9966145,-78.6697628,"<B>Winterpast Farm</B><br><B>Address: </B>12936 Ghoston Rd, Wake Forest, NC 27587<br><B>Type: </B>farm<br><B>Details: </B>Other<br><a href=""http://winterpast.org"" target=""_blank"">Website</a><br>",Accessible,http://winterpast.org
62,Crandall Bowles Children's Farm,29715,"2573 Lake Haigler Drive, Fort Mill SC 29715",(803) 547-1019,farm,Petting farm,34.897292,-80.883788,"<B>Crandall Bowles Children's Farm</B><br><B>Address: </B>2573 Lake Haigler Drive, Fort Mill SC 29715<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""https://www.ascgreenway.org/play/childrens-farm/"" target=""_blank"">Website</a><br>",Accessible,https://www.ascgreenway.org/play/childrens-farm/
65,Good Karma Ranch Alpacas,28080,"1041 Brevard Place Road, Iron Station, NCÊ28080",704-649-5849,farm,Petting farm,35.446844,-81.099794,"<B>Good Karma Ranch Alpacas</B><br><B>Address: </B>1041 Brevard Place Road, Iron Station, NCÊ28080<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""https://www.goodkarmaranch.com"" target=""_blank"">Website</a><br>",Accessible,https://www.goodkarmaranch.com
69,Little Rascals Pony Rides,28734,365 Haughton Williams Rd Franklin NC 28734,(828) 421-3308,farm,Petting farm,35.21576888,-83.4269158,"<B>Little Rascals Pony Rides</B><br><B>Address: </B>365 Haughton Williams Rd Franklin NC 28734<br><B>Type: </B>farm<br><B>Details: </B>Petting farm<br><a href=""https://little-rascals-pony-rides-and-petting-zoo.ueniweb.com"" target=""_blank"">Website</a><br>",Accessible,https://little-rascals-pony-rides-and-petting-zoo.ueniweb.com
75,Black Creek Hill Farms,27504,6019 N Carolina 50 Benson NC 27504,(919) 524-5096,farm,You pick your own,35.45303,-78.555007,"<B>Black Creek Hill Farms</B><br><B>Address: </B>6019 N Carolina 50 Benson NC 27504<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""https://www.blackcreekhillfarms.com"" target=""_blank"">Website</a><br>",Accessible,https://www.blackcreekhillfarms.com
84,Old Orchard Creek Farm,28643,410 Swansie Shepherd Rd Lansing NC 28643,(336) 384-1599,farm,You pick your own,36.51085057,-81.56954098,"<B>Old Orchard Creek Farm</B><br><B>Address: </B>410 Swansie Shepherd Rd Lansing NC 28643<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""https://www.oldorchardcreek.com"" target=""_blank"">Website</a><br>",Accessible,https://www.oldorchardcreek.com
91,Summerberry Farm,28025,3430 Rimer Rd Concord NC 28025,(704) 721-0670,farm,You pick your own,35.46537502,-80.4856725,"<B>Summerberry Farm</B><br><B>Address: </B>3430 Rimer Rd Concord NC 28025<br><B>Type: </B>farm<br><B>Details: </B>You pick your own<br><a href=""https://www.pickyourown.org/NCcharlotte-Summerberry-blackberries.php"" target=""_blank"">Website</a><br>",Accessible,https://www.pickyourown.org/NCcharlotte-Summerberry-blackberries.php